"aircraft","picture","source","author_name","author_profile","license"
"018070","aircraft_pictures/018070.jpg","https://www.flickr.com/photos/130961247@N06/39243849874/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018078","aircraft_pictures/018078.jpg","https://www.flickr.com/photos/130961247@N06/47584656022/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01807a","aircraft_pictures/01807a.jpg","https://www.flickr.com/photos/130961247@N06/39243850794/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"01807f","aircraft_pictures/01807f.jpg","https://www.flickr.com/photos/130961247@N06/47584655722/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018083","aircraft_pictures/018083.jpg","https://www.flickr.com/photos/130961247@N06/33760018058/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018085","aircraft_pictures/018085.jpg","https://www.flickr.com/photos/130961247@N06/43481785840/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"018086","aircraft_pictures/018086.jpg","https://www.flickr.com/photos/130961247@N06/33760017878/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020017","aircraft_pictures/020017.jpg","https://www.flickr.com/photos/130961247@N06/47578570742/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020018","aircraft_pictures/020018.jpg","https://www.flickr.com/photos/dylan33/47488613302/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
"02001b","aircraft_pictures/02001b.jpg","https://www.flickr.com/photos/130961247@N06/49585974192/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02001c","aircraft_pictures/02001c.jpg","https://www.flickr.com/photos/airlines470/7099948401/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"020025","aircraft_pictures/020025.jpg","https://www.flickr.com/photos/130961247@N06/49588622603/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020026","aircraft_pictures/020026.jpg","https://www.flickr.com/photos/130961247@N06/47630664791/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020042","aircraft_pictures/020042.jpg","https://www.flickr.com/photos/130961247@N06/30936475600/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020043","aircraft_pictures/020043.jpg","https://www.flickr.com/photos/130961247@N06/28436133206/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020044","aircraft_pictures/020044.jpg","https://www.flickr.com/photos/dylan33/33454574668/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
