"icao_code","iata_code","name","callsign","country","active","iata_member","iosa_certified","international","fleet_age","aircraft","aircraft_models","aircraft_over_25_years","routes","connections","destinations","annual_domestic_flights","annual_international_flights","accidents_last_5_years","fatal_accidents_last_5_years"
"MRA",NULL,"Martinaire","MARTEX","US","1","0","0","0","28.92","26","1","22",NULL,NULL,NULL,NULL,NULL,"0","0"
"MRJ","JI","Meraj Air","MERAJ AIRLINE","IR","1","0","0","1","17.00","1","1","0","29","15","14","2494","907","0","0"
"MRR",NULL,"West Isle Air Inc","MARINER","US","1","0","0","0","62.00","2","1","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"MRS",NULL,"Mars Avia","MARS CARGO","AM","1","0","0","0","24.80","5","4","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MSA","M4","Poste Air Cargo","MISTRAL WINGS","IT","1","1","1","0","23.22","9","3","2","20","10","13","1332","0","0","0"
"MSC","SM","Air Cairo",NULL,"EG","1","1","1","1","14.00","1","1","0","90","47","29","47","8941","0","0"
"MSI",NULL,"Motor Sich Airlines","MOTOR SICH","UA","1","0","0","1","37.83","12","4","11","14","7","6","1760","848","0","0"
"MSJ",NULL,"Skyjet","MAGNUM AIR","PH","1","0","0","0","26.25","4","2","3","6","3","4","2845","0","0","0"
"MSM",NULL,"Aeromas","AEROMAS EXPRESS","UY","1","0","0","0","36.50","2","2","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"MSR","MS","Egyptair","EGYPTAIR","EG","1","1","1","1","8.89","9","3","0","204","112","77","24138","59667","3","1"
"MSU",NULL,"MGC Aviation","MALUTI SKY","LS","1","0","0","1","30.50","2","2","1","2","1","2","0","1242","0","0"
"MTB",NULL,"Aerotaxis Metropolitanos SA de CV","AEROMETROPOLIS","MX","1","0","0","0","18.50","2","2","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTD","7N","Metrojets LLC","MATADOR","US","1","0","0","0","58.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTJ",NULL,"Metrojet","METROJET","HK","1","0","0","0","8.82","11","6","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTL",NULL,"RAF-AVIA","MITAVIA","LV","1","0","0","0","32.40","5","3","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTN",NULL,"Mountain Air Cargo","MOUNTAIN","US","1","0","0","0","27.22","50","3","44",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTS",NULL,"Med Jets SA de CV","MEDSERVICE","MX","1","0","0","0","27.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MTX",NULL,"Multitaxi SA","MULTITAXI","MX","1","0","0","0","25.00","3","3","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"MUI",NULL,"TransAir","TRANSAIR","US","1","0","0","0","36.11","9","2","9",NULL,NULL,NULL,NULL,NULL,"0","0"
"MVP",NULL,"Corporate Air Travel LLC","ALLSTAR","US","1","0","0","0","32.29","7","4","6",NULL,NULL,NULL,NULL,NULL,"0","0"
"MWG",NULL,"MASwings","MASWINGS","MY","1","0","0","1","10.00","1","1","0","90","45","24","54837","790","0","0"
"MWM","WD","Modern Logistics","MODERNAIR","BR","1","0","0","0","30.00","4","1","4",NULL,NULL,NULL,NULL,NULL,"0","0"
"MXD","OD","Malindo Air","MALINDO","MY","1","1","1","1","6.67","3","2","0","101","51","47","39584","22340","1","0"
"MXE",NULL,"Mocambique EXpresso","MOZAMBIQUE EXPRESS","MZ","1","0","0","0","20.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"1","0"
"MXM","6M","Maximus Airlines","MAXLINES","UA","1","0","0","0","22.00","2","2","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MYA",NULL,"Myflug","MYFLUG","IS","1","0","0","0","21.00","3","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"MYD","2M","Maya Island Air","MYLAND","BZ","1","0","0","1","15.67","18","3","3","5","4","4","46046","44","0","0"
"MYI",NULL,"MAYAir","MAYAIR","MX","1","0","0","0","30.67","3","1","3","8","4","5","4920","0","0","0"
"MYU",NULL,"My Indo Airlines","INDO","ID","1","0","0","1","36.00","4","2","4","10","6","6","3391","1069","0","0"
"NAC",NULL,"Northern Air Cargo","YUKON","US","1","0","0","0","29.71","7","2","7","26","16","10","3656","0","0","0"
"NAE",NULL,"National Airways","NATIONAL","ET","1","0","0","1","19.00","1","1","0","24","12","13","3084","1898","0","0"
