slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
a-ndb-uu-uuoo,A,CHERTOVITSKOYE (VORONEZH) NDB,NDB,TERMINAL,595,,,,,,,,25,51.803305556,39.251500000,,UU,UUOO,,RU
a-ndb-uw-uwke,A,BEGISHEVO NDB,NDB,TERMINAL,749,,,,,,,,25,55.550888889,52.066444444,,UW,UWKE,,RU
a-ndb-uw-uwww,A,KURUMOCH (SAMARA) NDB,NDB,TERMINAL,588,,,,,,,,15,53.484277778,50.188972222,,UW,UWWW,,RU
a-ndb-zh-zhcc,A,XINZHENG (ZHENGZHOU) NDB,NDB,TERMINAL,211,,,,,,,,25,34.510152778,113.868377778,,ZH,ZHCC,,CN
a-ndb-zs,A,DAJIAOCHANG NDB,NDB,ENROUTE,511,,,,,,,,50,31.985000000,118.793333333,,ZS,,,CN
a2-ndb-cy,A2,SIMONETTE NDB,NDB,ENROUTE,280,,,,,,,,50,54.423611111,-117.741111111,,CY,,,CA
a5-ndb-cy,A5,CHINCHAGA NDB,NDB,ENROUTE,317,,,,,,,,50,57.545000000,-119.111388889,,CY,,,CA
aa-ndb-bg,AA,AASIAAT NDB,NDB,ENROUTE,336,,,,,,,,15,68.723147222,-52.784825000,,BG,,,GL
aa-ndb-k3-kfar,AA,KENIE (FARGO) NDB,NDB,TERMINAL,365,,,,,,,,25,47.009052778,-96.815183333,,K3,KFAR,,US
aa-ndb-k7-khqu,AA,CEDAR (THOMSON) NDB,NDB,TERMINAL,341,,,,,,,,25,33.533277778,-82.614388889,,K7,KHQU,,US
aa-ndb-ng,AA,ABEMAMA NDB,NDB,ENROUTE,396,,,,,,,,50,0.500000000,173.850000000,,NG,,,KI
aa-ndb-nt,AA,ANAA NDB,NDB,ENROUTE,332,,,,,,,,50,-17.356388889,-145.509111111,,NT,,,PF
aa-ndb-wa,AA,ATAMBUA NDB,NDB,ENROUTE,300,,,,,,,,15,-9.075000000,124.903333333,,WA,,,ID
aa-vor-dme-nz,AA,AUCKLAND VOR/DME,VOR-DME,ENROUTE,114800,95X,1119000,1182000,0,20.000,,,130,-37.004638889,174.813638889,29,NZ,,,NZ
aaa-ndb-k5,AAA,ABRAHAM (LINCOLN) NDB,NDB,ENROUTE,329,,,,,,,,25,40.160116667,-89.338016667,,K5,,,US
aae-vor-dme-va,AAE,AHMEDABAD VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,0,,,130,23.068230556,72.629083333,218,VA,,,IN
aaf-ndb-k7,AAF,APALACHICOLA NDB,NDB,ENROUTE,349,,,,,,,,25,29.723313889,-85.028063889,,K7,,,US
aal-vortac-ek,AAL,AALBORG VORTAC,VORTAC,ENROUTE,116700,114X,1138000,1201000,0,3.000,,,130,57.103719444,9.995577778,57,EK,,,DK
aaq-ndb-sb,AAQ,ARARAQUARA NDB,NDB,ENROUTE,205,,,,,,,,50,-21.813011111,-48.139477778,,SB,,,BR
aar-dme-ils-ek-ekah,AAR,AARHUS DME-ILS,DME-ILS,TERMINAL,111900,56X,1080000,1017000,0,,,,25,56.303830556,10.601102778,79,EK,EKAH,,DK
aar-gs-ek-ekah,AAR,GS 10R,GS,TERMINAL,111900,,,,,,100.326,2.75,18,56.303769444,10.601083333,81,EK,EKAH,10R,DK
aar-ils-i-ek-ekah,AAR,ILS 10R,ILS-I,TERMINAL,111900,,,,,,100.326,,18,56.300452778,10.647502778,81,EK,EKAH,10R,DK
aar-vor-dme-oe,AAR,ARAR VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,4.000,,,130,30.908027778,41.142166667,1900,OE,,,SA
aar-vor-dme-vi,AAR,AMRITSAR VOR/DME,VOR-DME,ENROUTE,115500,102X,1126000,1189000,0,2.000,,,130,31.728022222,74.785911111,788,VI,,,IN
aat-dme-vo,AAT,AGATTI DME,DME,ENROUTE,115900,106X,1130000,1193000,0,,,,40,10.828250000,72.179388889,43,VO,,,IN
aat-vor-dme-ve,AAT,AGARTALA VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,0,0,,,130,23.890411111,91.238647222,87,VE,,,IN
aau-vor-dme-va,AAU,AURANGABAD VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,0,-1.000,,,130,19.861125000,75.405208333,1927,VA,,,IN
ab-ndb-es,AB,HAGFORS NDB,NDB,ENROUTE,393,,,,,,,,15,59.950416667,13.585833333,,ES,,,SE
ab-ndb-ft,AB,ABECHE NDB,NDB,ENROUTE,350,,,,,,,,50,13.845277778,20.845555556,,FT,,,TD
ab-ndb-ha,AB,ADDIS ABEBA NDB,NDB,ENROUTE,333,,,,,,,,50,8.997372222,38.862583333,,HA,,,ET
ab-ndb-k3-kabr,AB,RENEY (ABERDEEN) NDB,NDB,TERMINAL,203,,,,,,,,25,45.386105556,-98.328511111,,K3,KABR,,US
ab-ndb-k4-kabi,AB,TOMHI (ABILENE) NDB,NDB,TERMINAL,353,,,,,,,,25,32.298863889,-99.674227778,,K4,KABI,,US
ab-ndb-lf,AB,ALBI NDB,NDB,ENROUTE,323,,,,,,,,15,43.912555556,2.064500000,,LF,,,FR
ab-ndb-un-unaa,AB,ABAKAN NDB,NDB,TERMINAL,360,,,,,,,,25,53.701416667,91.355194444,,UN,UNAA,,RU
aba-dme-ils-eh-eham,ABA,SCHIPHOL DME-ILS,DME-ILS,TERMINAL,111950,56Y,1080000,1143000,0.200,,,,25,52.293733333,4.775025000,1,EH,EHAM,,NL
aba-dme-ym,ABA,ALBANY DME,DME,TERMINAL,109700,34X,1058000,995000,0,,,,125,-34.949955556,117.809866667,243,YM,,,AU
aba-gs-eh-eham,ABA,GS 36R,GS,TERMINAL,111950,,,,,,003.239,3.00,18,52.293725000,4.775855556,-11,EH,EHAM,36R,NL
aba-ils-iii-eh-eham,ABA,ILS 36R,ILS-III,TERMINAL,111950,,,,,,3.239,,18,52.323502778,4.780372222,-11,EH,EHAM,36R,NL
aba-ndb-ym,ABA,ALBANY NDB,NDB,ENROUTE,240,,,,,,,,50,-34.952166667,117.810527778,,YM,,,AU
aba-vor-dme-tn,ABA,ARUBA VOR/DME,VOR-DME,ENROUTE,112500,72X,1096000,1159000,0,-10.400,,,150,12.505677778,-69.943100000,647,TN,,,AW
abb-vor-dme-lf,ABB,ABBEVILLE VOR/DME,VOR-DME,ENROUTE,108450,21Y,1045000,1108000,0,-1.000,,,130,50.135138889,1.854694444,220,LF,,,FR
abc-vor-dme-dn,ABC,ABUJA VOR/DME,VOR-DME,ENROUTE,116300,110X,1134000,1197000,0,-2.000,,,130,9.037805556,7.285111111,1191,DN,,,NG
abd-ndb-oi,ABD,ABADAN NDB,NDB,ENROUTE,210,,,,,,,,15,30.370472222,48.219916667,,OI,,,IR
abd-ndb-os,ABD,ABYAD (DAMASCUS) NDB,NDB,ENROUTE,264,,,,,,,,50,33.335286111,36.428188889,,OS,,,SY
abd-vor-dme-oi,ABD,ABADAN VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,0,4.000,,,130,30.375305556,48.220611111,8,OI,,,IR
abd-vor-dme-wa,ABD,MALANG VOR/DME,VOR-DME,ENROUTE,116100,108X,1132000,1195000,0,1.000,,,130,-7.932763889,112.713111111,1715,WA,,,ID
abg-ndb-k4,ABG,AMBASSADOR (BIG SANDY) NDB,NDB,ENROUTE,404,,,,,,,,25,32.585494444,-95.113119444,,K4,,,US
abh-vortac-oe,ABH,ABHA VORTAC,VORTAC,ENROUTE,112900,76X,1100000,1163000,0,2.000,,,130,18.241916667,42.656944444,6900,OE,,,SA
abi-tacan-hd,ABI,DJIBOUTI TACAN,TACAN,ENROUTE,114600,93X,1117000,1180000,0,2.000,,,130,11.549222222,43.154861111,40,HD,,,DJ
abi-vortac-k4,ABI,ABILENE VORTAC,VORTAC,ENROUTE,113700,84X,1108000,1171000,0,10.000,,,130,32.481330556,-99.863452778,1809,K4,,,US
abk-vor-dme-un,ABK,ABAKAN VOR/DME,VOR-DME,ENROUTE,113300,80X,1104000,1167000,0,4.000,,,130,53.744638889,91.385527778,787,UN,,,RU
abl-vor-dme-sk,ABL,AMBALEMA VOR/DME,VOR-DME,ENROUTE,112700,74X,1098000,1161000,0,-6.000,,,130,4.783819444,-74.767586111,984,SK,,,CO
abm-dme-oi,ABM,ABUMUSA ISLAND DME,DME,ENROUTE,115400,101X,1125000,1188000,0,,,,130,25.877916667,55.023055556,32,OI,,,IR
abm-ndb-oi,ABM,ABUMUSA ISLAND NDB,NDB,ENROUTE,285,,,,,,,,50,25.878000000,55.022805556,,OI,,,IR
abn-ndb-li,ABN,ALBENGA NDB,NDB,ENROUTE,420,,,,,,,,50,44.055972222,8.221000000,,LI,,,IT
abq-vortac-k2,ABQ,ALBUQUERQUE VORTAC,VORTAC,ENROUTE,113200,79X,1103000,1166000,0,13.000,,,130,35.043794444,-106.816311111,5749,K2,,,US
abr-vor-dme-k3,ABR,ABERDEEN VOR/DME,VOR-DME,ENROUTE,113000,77X,1101000,1164000,0,7.000,,,130,45.417355556,-98.368719444,1304,K3,,,US
abu-ndb-ed,ABU,ALTENBURG NDB,NDB,ENROUTE,330,,,,,,,,25,50.993775000,12.521038889,,ED,,,DE
abu-vor-dme-hl,ABU,ABU ARGUB VOR/DME,VOR-DME,ENROUTE,115100,98X,1122000,1185000,0,2.000,,,130,32.462833333,13.169508333,489,HL,,,LY
abv-vor-dme-fa,ABV,ALEXANDER BAY VOR/DME,VOR-DME,ENROUTE,112100,58X,1082000,1019000,0,-19.000,,,130,-28.570652778,16.533833333,98,FA,,,ZA
abw-dme-ils-ut-utaa,ABW,ASHGABAT DME-ILS,DME-ILS,TERMINAL,108500,22X,1046000,983000,0,,,,25,37.999861111,58.347000000,700,UT,UTAA,,TM
abw-gs-ut-utaa,ABW,GS 12L,GS,TERMINAL,108500,,,,,,119.380,3.00,18,37.999861111,58.347000000,692,UT,UTAA,12L,TM
