airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
SEMX,3280,26,09,-2.85075,-79.8081,,94.4,,27,-2.85145,-79.7991,,274.4,,ASP,0,1
SEPC,5255,96,02,-2.75823,-78.2668,1764,26.1,,20,-2.74522,-78.2604,1796,206.1,,ASP,0,1
SEPS,3774,57,10,-3.31822,-79.7742,,105.9,,28,-3.32108,-79.7641,,285.9,,ASP,0,1
SEPV,7451,89,12,-1.03533,-80.4803,114,128,,30,-1.04796,-80.4641,129,308,427,ASP,0,1
SEQE,4450,70,18,-0.98321,-79.4653,,178.3,,36,-0.99547,-79.4649,,358.3,,ASP,0,1
SERB,5250,95,05,-1.65749,-78.6621,9151,55.9,,23,-1.64937,-78.6502,9145,235.9,,ASP,0,1
SERO,8625,148,07,-3.4461,-80.007,20,68,220,25,-3.4377,-79.9864,6,248,320,ASP,0,1
SESA,3641,131,08,-2.20349,-80.9922,15,82,,26,-2.20202,-80.9823,13,262,,ASP,0,1
SESA,7995,98,13,-2.20293,-80.9936,13,129,,31,-2.21692,-80.9767,12,309,,ASP,1,1
SESD,3668,82,11,-0.24658,-79.2194,,108,,29,-0.24986,-79.2095,,288,,ASP,0,1
SESM,5052,82,12,-1.50183,-78.0687,3465,119,,30,-1.50866,-78.0567,3415,299,,ASP,0,1
SEST,6214,66,16,-0.90179,-89.619,27,169,,34,-0.91862,-89.6159,52,349,,ASP,0,1
SESV,7227,98,15,-0.59937,-80.4074,8,151,,33,-0.61685,-80.3979,10,331,,ASP,0,1
SETA,10015,145,03,-2.2734,-79.6861,56,25.8,,21,-2.24868,-79.6742,56,205.8,,ASP,1,1
SETN,7874,148,18,0.98936,-79.6262,20,183,,36,0.96768,-79.6272,32,3,,ASP,1,1
SETR,5151,49,12,-0.11901,-76.3438,814,122,,30,-0.1269,-76.3317,797,302,,ASP,1,1
SETU,8071,98,05,0.80308,-77.7171,9646,55,,23,0.81593,-77.699,9593,235,,ASP,0,1
SFAL,3013,63,09,-51.686,-57.7804,,89.4,206,27,-51.6859,-57.7671,,269.4,,ASP,0,1
SFAL,1110,42,18,-51.684,-57.7816,,179.9,,36,-51.6871,-57.7816,,359.9,,ASP,0,1
SGAS,10997,148,02,-25.2546,-57.5227,292,10,,20,-25.2251,-57.5155,249,190,,ASP,1,1
SGAY,6070,148,02,-27.3789,-56.8556,223,10.2,,20,-27.3624,-56.8523,223,190.2,,ASP,0,1
SGCO,6070,148,03,-23.4498,-57.4296,249,16,,21,-23.4337,-57.4246,249,196,,ASP,1,1
SGES,11154,148,05,-25.4671,-54.8546,846,40.8,,23,-25.4439,-54.8326,774,220.8,,ASP,1,1
SGIB,4987,75,03,-25.4143,-54.6219,762,19.3,,21,-25.4014,-54.6169,738,199.3,,ASP,1,1
SGME,11483,131,01,-22.0608,-60.621,549,357.8,,19,-22.0292,-60.6223,552,177.8,,CON,1,1
SGPI,4920,62,02,-26.8882,-58.3187,,5,,20,-26.8747,-58.3174,,185,,CON,0,1
SGPJ,5908,98,03,-22.6493,-55.8322,1870,14,,21,-22.6336,-55.8278,1873,194,,ASP,0,1
SGST,5895,65,02,-22.6319,-56.6356,,7,,20,-22.6158,-56.6335,,187,,ASP,1,1
SKAP,8204,164,10,4.07709,-73.5739,1241,95,,28,4.07506,-73.5515,1194,275,,ASP,1,1
SKAR,7045,118,02,4.44339,-75.7687,3968,13,,20,4.46216,-75.7643,3979,193,,ASP,1,1
SKAS,5331,131,01,0.49797,-76.5019,,8.6,,19,0.51248,-76.4997,834,188.6,,ASP,0,1
SKBC,3985,93,10,9.04647,-73.9804,,99.7,,28,9.04461,-73.9694,,279.7,,ASP,0,1
SKBG,7381,131,16,7.13606,-73.1884,3902,159,,34,7.11694,-73.1811,3851,339,,ASP,1,1
SKBN,4935,98,03,10.8818,-72.9035,,26.7,,21,10.894,-72.8973,,206.7,,ASP,0,1
SKBO,12467,148,13L,4.71339,-74.1521,8354,127,,31R,4.6927,-74.1247,8354,307,,ASP,1,1
SKBO,12467,148,13R,4.7105,-74.1692,8350,127,,31L,4.68979,-74.1418,8355,307,,ASP,1,1
SKBQ,9842,148,05,10.8792,-74.7897,98,40,,23,10.8999,-74.772,98,220,,CON,1,1
SKBS,3973,78,18,6.20835,-77.3953,,174,,36,6.19749,-77.3941,,354,,ASP,0,1
SKBU,3945,76,09,3.81924,-76.9952,40,86,,27,3.82001,-76.9844,48,266,,ASP,1,1
SKCC,6341,148,02,7.91789,-72.5145,1046,17,,20,7.9346,-72.5094,1004,197,,ASP,1,1
SKCC,7700,148,16,7.94034,-72.5196,1098,148,,34,7.92242,-72.5082,1026,328,,ASP,1,1
SKCG,8530,148,01,10.4306,-75.5134,4,2.3,,19,10.4541,-75.5125,4,182.3,190,ASP,1,1
SKCL,9842,148,01,3.5299,-76.3839,3153,10,,19,3.55654,-76.3793,3162,190,,,1,1
SKCN,3675,45,04,6.31296,-70.214,,39.9,,22,6.32072,-70.2075,,219.9,,ASP,0,1
SKCO,5249,90,06,1.81017,-78.7551,10,54,,24,1.81867,-78.7434,10,234,,ASP,0,1
SKCU,3794,66,01,7.96339,-75.1997,,14,,19,7.97354,-75.1972,,194,,ASP,0,1
SKCV,4396,98,05,9.39703,-75.696,,50.2,175,23,9.40482,-75.6866,,230.2,190,ASP,0,1
SKCZ,4930,98,02,9.32636,-75.2879,,19.8,,20,9.33912,-75.2833,,199.8,227,ASP,1,1
SKEB,4310,40,18,7.60241,-74.8085,,184,,36,7.59053,-74.8094,,4,,ASP,0,1
SKEJ,5905,148,04,7.01735,-73.811,401,31,,22,7.03131,-73.8026,408,211,,ASP,1,1
SKFL,4921,98,12,1.59213,-75.5705,797,116,,30,1.58625,-75.5583,803,296,,ASP,1,1
SKGB,6233,98,06,3.45489,-76.5042,,62,,24,3.46308,-76.4891,,242,,ASP,1,1
SKGI,5249,92,02,4.26916,-74.7982,899,12.4,,20,4.28332,-74.7951,936,192.4,,ASP,1,1
