icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
A359,359,Airbus,A350-900,L2J,H,,,140,,,,,,,,,,,,,205000,,268000,192000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa151
A35K,351,Airbus,A350-1000,L2J,H,,,,,,,,,,,,,,,,233000,,308000,220000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa151
A37,,Cessna,A-37 Dragonfly,L2J,L,,,127,,,,,,,,10.67,,,,,,,,,
A388,388,Airbus,A380-800,L4J,H,,,145,,,,,,,,,,,,,386000,562000,560000,361000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa110
A3ST,ABB,Airbus,A300-600ST Beluga,L2J,H,,,137,,,,,,,,,,,,,140000,155900,155000,130000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa014
A4,,Douglas,A-4 Skyhawk,L1J,M,,,,,585,,,4.62,12.23,24.00,8.38,,,,1008,,,11113,,
A400,,Airbus Defence and Space,A400M Atlas,L4T,H,,,,,,,,,,,,,,,,,,,,
A6,,Grumman,A-6 Intruder,L2J,M,,,,,,,,,,,,,,,,,,,,
A743,,Antonov,An-74-300,L2J,M,,,,,,,,,,,,,,,,,,,,
A748,HS7,Hawker Siddeley,HS 748,L2T,M,,,94,,,,,,,,31.09,,,,,,,,,
AA1,,Grumman American,AA-1,L1P,L,,,66,,,,,,,,7.32,,,,,,,,,
AA37,,Aeroprakt,A-37,L2P,L,,,,,,,,,,,,,,,,,,,,
AA5,,Grumman American,AA-5,L1P,L,,,68,,,,,,,,9.45,,,,,,,,,
AB11,,Aero Boero,AB-115,L1P,L,,,47,,,,,,,,10.67,,,,,,,,,
AB15,,Aero Boero,AB-150,L1P,L,,,52,,,,,,,,10.67,,,,,,,,,
AB18,,Aero Boero,AB-180,L1P,L,,,52,,,,,,,,10.67,,,,,,,,,
AB95,,Aero Boero,AB-95,L1P,L,,,34,,,,,,,,10.36,,,,,,,,,
ADVN,,Adventure Air,Adventurer,A1P,L,15000,,,110,137,,,,7.77,16.63,10.92,,,230,740,,,,,
AEST,,Piper,PA-60 Aerostar,L2P,L,,,104,,,,,,,,10.97,,,,,,,,,
AMX,,AMX International,AMX,L1J,M,,,,,,,,,,,,,,,,,,,,
AN12,ANF,Antonov,An-12,L4T,M,,,127,,,,,,,,37.80,,,,,,,,,
AN2,,Antonov,An-2,L1P,L,,,34,,,,,,,,17.98,,,,,,,,,
AN22,,Antonov,An-22 Antei,L4T,H,,,,,,,,,,,,,,,,,,,,
AN24,AN4,Antonov,An-24,L2T,M,,,,,,,,,,,,,,,,,,,,
AN26,A26,Antonov,An-26,L2T,M,,,121,,,,,,,,28.96,,,,,,,,,
AN28,A28,Antonov,An-28,L2T,L,,,,,,,,,,,,,,,,,,,,
AN3,,Antonov,An-3,L1T,L,,,,,,,,,,,,,,,,,,,,
AN30,A30,Antonov,An-30,L2T,M,,,,,,,,,,,,,,,,,,,,
AN32,A32,Antonov,An-32,L2T,M,,,,,,,,,,,,,,,,,,,,
AN38,,Antonov,An-38,L2T,M,,,,,,,,,,,,,,,,,,,,
AN70,,Antonov,An-70,L4T,M,,,,,,,,,,,,,,,,,,,,
