aircraft_type,picture,source,author_name,author_profile,license
T160,aircraft_types_pictures/T160.webp,https://www.flickr.com/photos/cryogenic666/2566045206/,cryogenic666,https://www.flickr.com/photos/cryogenic666/,CC-BY-SA-2.0
T204,aircraft_types_pictures/T204.webp,https://www.flickr.com/photos/44400809@N07/25343702416/,Dmitry Terekhov,https://www.flickr.com/photos/44400809@N07/,CC-BY-SA-2.0
T206,aircraft_types_pictures/T206.webp,https://www.flickr.com/photos/ajw1970/30272991268/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
T210,aircraft_types_pictures/T210.webp,https://www.flickr.com/photos/tomasdelcoro/31053143887/,Tomás Del Coro,https://www.flickr.com/photos/tomasdelcoro/,CC-BY-SA-2.0
T22M,aircraft_types_pictures/T22M.webp,https://www.flickr.com/photos/ajw1970/8636206394/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
T334,aircraft_types_pictures/T334.webp,https://www.flickr.com/photos/cust/1205086873/,Leonid Kruzhkov,https://www.flickr.com/photos/cust/,CC-BY-ND-2.0
T34P,aircraft_types_pictures/T34P.webp,https://www.flickr.com/photos/fun_flying/2761920452/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
T34T,aircraft_types_pictures/T34T.webp,https://www.flickr.com/photos/ajw1970/26251525947/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
T37,aircraft_types_pictures/T37.webp,https://www.flickr.com/photos/wiltshirespotter/14086905463/,Pete Webber,https://www.flickr.com/photos/wiltshirespotter/,CC-BY-SA-2.0
T38,aircraft_types_pictures/T38.webp,https://www.flickr.com/photos/fun_flying/2761069123/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
T50,aircraft_types_pictures/T50.webp,https://www.flickr.com/photos/my_public_domain_photos/17035435808/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
TBM,aircraft_types_pictures/TBM.webp,https://www.flickr.com/photos/fun_flying/215694081/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
TCAT,aircraft_types_pictures/TCAT.webp,https://www.flickr.com/photos/clemensv/29404139152/,Clemens Vasters,https://www.flickr.com/photos/clemensv/,CC-BY-2.0
TIGR,aircraft_types_pictures/TIGR.webp,https://www.flickr.com/photos/neuwieser/42174697641/,Neuwieser,https://www.flickr.com/photos/neuwieser/,CC-BY-SA-2.0
TU16,aircraft_types_pictures/TU16.webp,https://www.flickr.com/photos/ajw1970/10229181875/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
TU22,aircraft_types_pictures/TU22.webp,https://www.flickr.com/photos/ajw1970/10239395004/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
TU4,aircraft_types_pictures/TU4.webp,https://www.flickr.com/photos/ajw1970/38606467515/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
TU95,aircraft_types_pictures/TU95.webp,https://www.flickr.com/photos/ajw1970/10208823814/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
TUCA,aircraft_types_pictures/TUCA.webp,https://www.flickr.com/photos/elsie/39888137/,Les Chatfield,https://www.flickr.com/photos/elsie/,CC-BY-2.0
U16,aircraft_types_pictures/U16.webp,https://www.flickr.com/photos/fun_flying/2143608420/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
U21,aircraft_types_pictures/U21.webp,https://www.flickr.com/photos/awilson154/7055037079/,Alec Wilson,https://www.flickr.com/photos/awilson154/,CC-BY-SA-2.0
UH1,aircraft_types_pictures/UH1.webp,https://www.flickr.com/photos/magnera/35713662844/,L.C. Nøttaasen,https://www.flickr.com/photos/magnera/,CC-BY-2.0
UH1Y,aircraft_types_pictures/UH1Y.webp,https://www.flickr.com/photos/tomasdelcoro/15342548097/,Tomás Del Coro,https://www.flickr.com/photos/tomasdelcoro/,CC-BY-SA-2.0
V1,aircraft_types_pictures/V1.webp,https://www.flickr.com/photos/fun_flying/2766857114/,D. Miller,https://www.flickr.com/photos/fun_flying/,CC-BY-2.0
VF35,aircraft_types_pictures/VF35.webp,https://www.flickr.com/photos/24874528@N04/33627299265/,Airwolfhound,https://www.flickr.com/photos/24874528@N04/,CC-BY-SA-2.0
WCAT,aircraft_types_pictures/WCAT.webp,https://www.flickr.com/photos/57412095@N05/10549404426/,A Yee,https://www.flickr.com/photos/57412095@N05/,CC-BY-2.0
X2,aircraft_types_pictures/X2.webp,https://www.flickr.com/photos/my_public_domain_photos/43657685502/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
X29,aircraft_types_pictures/X29.webp,https://www.flickr.com/photos/multiplyleadership/5920602066/,Mark Jones Jr.,https://www.flickr.com/photos/multiplyleadership/,CC-BY-2.0
X32,aircraft_types_pictures/X32.webp,https://www.flickr.com/photos/77258709@N06/21498678875/,ermaleksandr,https://www.flickr.com/photos/77258709@N06/,CC0-1.0
X47B,aircraft_types_pictures/X47B.webp,https://www.flickr.com/photos/my_public_domain_photos/35884309543/,Robert Sullivan,https://www.flickr.com/photos/my_public_domain_photos/,CC0-1.0
X49,aircraft_types_pictures/X49.webp,https://www.flickr.com/photos/multiplyleadership/6793713706/,Mark Jones Jr.,https://www.flickr.com/photos/multiplyleadership/,CC-BY-2.0
X55,aircraft_types_pictures/X55.webp,https://www.flickr.com/photos/ajw1970/27631301015/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
XV15,aircraft_types_pictures/XV15.webp,https://www.flickr.com/photos/37467370@N08/33325233668/,Greg Goebel,https://www.flickr.com/photos/37467370@N08/,CC0-1.0
Y130,aircraft_types_pictures/Y130.webp,https://www.flickr.com/photos/41279068@N08/7541762392/,Adrian ...,https://www.flickr.com/photos/41279068@N08/,CC-BY-2.0
