airport,description,frequency,type
CYFB,"ARTIC RADIO, (FISW)",123275,RCO
CYFB,GANDER RADIO,126900,INTL AIR
CYFB,"IQALLUIT RADIO, 5NM BELOW 3100ASL",122200,MF
CYFB,MONTREAL CONTROL,134550,PAL
CYFB,RDO,122200,FSS
CYFC,MF,119000,A/G
CYFC,MONCTON CNTR,124300,CNTR
CYFC,RDO,119000,RDO
CYFD,ATF/UNICOM,122825,UNIC
CYFD,TORONTO TRML,128270,A/D
CYFE,ATF,123200,ATF
CYFJ,ATF/UNICOM,122700,ATF
CYFJ,MONTREAL CENTER,133900,PAL
CYFO,WINNIPEG RDO MF,122000,A/G
CYFO,WINNIPEG RDO,122000,RCO
CYFR,ARPT RDO,122100,RDO
CYFR,MANDATORY FREQ,122100,ATF
CYFS,EDMONTON CNTR,135400,CNTR
CYFS,FT SIMPSON RDO,122200,MF
CYFS,YELLOWKNIFE RDO,126700,RCO
CYGB,ATF,122700,ATF
CYGD,ATF/UNICOM,122700,UNIC
CYGD,TORONTO CNTR,135300,CNTR
CYGE,ATF/UNICOM,122800,UNIC
CYGE,PACIFIC RDO,126700,RCO
CYGH,AIRPORT RDO,122100,RDO
CYGH,MANDATORY FREQ,122100,ATF
CYGH,NORMAN WELLS RDO,126700,FSS
CYGK,"KINGSTON RADIO, 0615-2300 LOCAL",122500,MF
CYGK,KINGSTON RADIO,122500,RADIO
CYGK,KINGSTON RADIO,122500,VDF
CYGK,KINGSTON TRAFFIC,122500,ATF
CYGK,LONDON RADIO,123550,RCO
CYGL,MF,122300,A/G
CYGL,MONTREAL CNTR,132100,CNTR
CYGL,QUEBEC RDO,126700,RCO
CYGL,RDO,122300,RDO
CYGM,MF,122150,A/G
CYGM,UNICOM,122150,UNIC
CYGP,MF QUEBEC RDO,122300,RDO
CYGP,QUEBEC RDO,122300,RCO
CYGQ,ATF/UNICOM,122800,UNIC
CYGQ,LONDON RDO,126700,RCO
CYGR,MADELEINE RDO,123150,FSS
CYGR,MF,123150,RDO
CYGR,MONCTON CNTR,134350,CNTR
CYGR,QUEBEC RDO,126700,RCO
CYGV,AWOS,125950,AWOS
CYGV,MF,122000,RDO
CYGV,QUEBEC RDO,122000,RCO
CYHB,ATF,122800,ATF
CYHD,MF,122100,RDO
CYHD,MIN NATL RESOURCES,122900,A/G
CYHD,WINNIPEG CNTR,132200,CNTR
CYHD,WINNIPEG RDO,122100,RCO
CYHF,ATF/UNICOM,122800,UNIC
CYHI,ARPT RDO,122100,RDO
CYHI,MANDATORY FREQ,122100,ATF
CYHK,ARPT RDO,122100,RDO
CYHK,MANDATORY FREQ,122100,ATF
CYHM,ATIS,128100,ATIS
CYHM,GND,121600,GND
CYHM,TORONTO TRML,119700,A/D
CYHM,TWR,125000,TWR
CYHN,ATF/UNICOM,122800,UNIC
CYHR,ATF,123500,ATF
CYHR,AWOS,122550,AWOS
CYHS,ATF/UNICOM,122800,UNIC
CYHU,ATIS,124900,ATIS
CYHU,GND,126400,GND
CYHU,MF,118400,A/G
CYHU,MONTREAL CNTR,125150,CNTR
CYHU,QUEBEC RDO,118400,RDO
CYHU,TWR,118400,TWR
CYHU,VFR ADVSY,134150,INFO
CYHY,EDMONTON CNTR,133850,CNTR
CYHY,MANDATORY FREQ,122300,UNIC
CYHY,YELLOWKNIFE RDO,126700,A/D
CYHZ,APN ADVSY,122125,RMP
CYHZ,ATIS,121000,ATIS
CYHZ,CLNC DEL,123950,CLD
CYHZ,GND,121900,GND
CYHZ,MONCTON CNTR,118700,CNTR
CYHZ,RDO,123275,RDO
CYHZ,TRML,118700,A/D
CYHZ,TWR,118400,TWR
CYIB,ATF,122300,ATF
CYIB,MF,122300,A/G
CYIB,WINNIPEG RDO,123275,RCO
CYID,ATF/UNICOM,122800,UNIC
CYIF,ATF/UNICOM,123500,UNIC
CYIF,QUEBEC RDO,126700,RCO
CYIK,ARPT RDO,122100,A/G
CYIK,MF/CTAF,122100,ATF
CYIO,AWOS,128300,AWOS
CYIO,RDO,122100,RDO
CYJM,ATF,123200,ATF
CYJN,ATF,118200,ATF
CYJN,GND,121700,GND
CYJN,MONTREAL APP DEP,125150,A/D
CYJN,TWR,118200,TWR
CYJN,VFR ADVSY,134150,A/G
CYJT,GANDER CNTR,132300,CNTR
CYJT,HALIFAX RDO,126700,RCO
CYJT,MF,122100,RDO
CYKA,"KAMLOOPS RADIO, 5NM BELOW 4100ASL",125700,MF
CYKA,LIGHT HRS,121900,CLNC DEL
CYKA,PACIFIC RADIO (FISE),123375,RCO
CYKA,SHELL AEROCENTER,123000,PVT ADV
CYKA,VANCOUVER CONTROL,132350,PAL
CYKD,ARPT RDO,122100,RDO
CYKD,ATF,122100,ATF
CYKF,ATIS,125100,ATIS
CYKF,TORONTO CONTROL,128275,PAL
CYKF,TORONTO TERMINAL,128275,ARR
CYKF,TORONTO TERMINAL,128275,DEP
CYKF,WATERLOO GROUND,121800,GND
CYKF,"WATERLOO TOWER, PRIMARY",126000,TWR
CYKF,"WATERLOO TOWER, SECONDARY",118550,TWR
CYKF,"WATERLOO TRAFFIC, 5NM BELOW 4000 ASL, 04Z TO 12Z",126000,MF
CYKL,AWOS,124600,AWOS
CYKL,MF,122200,A/G
CYKL,MONTREAL CNTR,132900,CNTR
CYKL,QUEBEC RDO,126700,FSS
CYKL,QUEBEC RDO,126700,RCO
CYKM,ATF/UNICOM,122800,UNIC
CYKO,ARPT RDO,122100,INFO
CYKO,MF/CTAF,122100,ATF
CYKO,QUEBEC RDO,126700,RDO
CYKX,ATF,122800,ATF
CYKY,ATF,122800,ATF
CYKZ,ATIS,127100,ATIS
CYKZ,BUTTONVILLE GROUND,121800,GND
CYKZ,BUTTONVILLE TOWER. (BACKUP: 119.9),124800,TWR
CYKZ,BUTTONVILLE TRAFFIC: WHEN TOWER CLOSED,124800,MF
CYKZ,LONDON RADIO,123150,RCO
CYKZ,TORONTO TERMINAL ARRIVALS,133400,ARR
CYKZ,TORONTO TERMINAL DEPARTURES,133400,DEP
CYLB,ATF,123200,ATF
CYLB,EDMONTON CNTR,134700,CNTR
CYLB,EDMONTON RDO,126700,RCO
CYLD,ATF/UNICOM,122800,UNIC
CYLI,ATF,123200,ATF
CYLJ,ATF,122800,ATF
CYLJ,COLD LAKE TRML,124500,A/D
CYLL,EDMONTON CNTR,133450,CNTR
CYLL,EDMONTON RDO,126700,RCO
CYLL,MF LLOYDMINSTER RDO,122200,A/G
CYLL,RDO,122200,RDO
CYLQ,ATF/UNICOM,122800,UNIC
CYLQ,MONTREAL CNTR,134500,CNTR
CYLR,ATF,123200,ATF
CYLS,ATF/UNICOM,122700,UNIC
CYLS,AWOS,122550,AWOS
CYLS,TORONTO CNTR,124025,CNTR
CYLT,OPS,568000,OPS
CYLW,ATIS,127500,ATIS
CYLW,EMR,122675,EMR
CYLW,GND,121700,GND
CYLW,PACIFIC RDO,126700,A/G
CYLW,PENTICTON RDO,119600,RCO
CYLW,TWR,119600,TWR
CYMA,ARPT RDO,122100,RDO
CYMA,EDMONTON CNTR,134650,CNTR
