"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"151ce2","RA-72930","Antonov","An-72","AN72","36572070678","L2J",NULL,NULL,NULL,NULL
"151cea","RF-95690","Antonov","An-72","AN72","36572070693","L2J",NULL,NULL,NULL,NULL
"151cec","72940","Antonov","An-72","AN72","36572080781","L2J",NULL,NULL,NULL,NULL
"151ced","RA-72941","Antonov","An-72","AN72","36572080783","L2J",NULL,NULL,NULL,NULL
"151cef","RF-72502","Antonov","An-72","AN72","36572080787","L2J",NULL,NULL,NULL,NULL
"151cf1","RF-90372","Antonov","An-72","AN72","36572090799","L2J",NULL,NULL,NULL,NULL
"151cf2","RA-72946","Antonov","An-72","AN72","36572090801","L2J",NULL,NULL,NULL,NULL
"151cf3","RA-72947","Antonov","An-72","AN72","36572090803","L2J",NULL,NULL,NULL,NULL
"151cf6","RA-72950","Antonov","An-72","AN72","36572091819","L2J",NULL,NULL,NULL,NULL
"151cf9","RF-90453","Antonov","An-72","AN72","36572080793","L2J",NULL,NULL,NULL,NULL
"151cfa","RA-72954","Antonov","An-72","AN72","36572090795","L2J",NULL,NULL,NULL,NULL
"151cfb","RF-72031","Antonov","An-72","AN72","36572090807","L2J",NULL,NULL,NULL,NULL
"151cfe","RF-72011","Antonov","An-72P","AN72","36572092841","L2J",NULL,NULL,NULL,NULL
"151d01","RF-72012","Antonov","An-72P","AN72","36572093866","L2J",NULL,NULL,NULL,NULL
"151d02","RA-72962","Antonov","An-72","AN72","36572091831","L2J",NULL,NULL,NULL,NULL
"151d03","RA-72963","Antonov","An-72","AN72","36572092845","L2J",NULL,NULL,NULL,NULL
"151d04","RF-72964","Antonov","An-72","AN72","36572093860","L2J",NULL,NULL,NULL,NULL
"151d05","RA-72965","Antonov","An-72","AN72","36572093863","L2J",NULL,NULL,NULL,NULL
"151d07","RA-72967","Antonov","An-72","AN72","36572091837","L2J",NULL,NULL,NULL,NULL
"151d08","RF-90452","Antonov","An-72","AN72","36572092838","L2J",NULL,NULL,NULL,NULL
"151d09","RF-90371","Antonov","An-72","AN72","36572092848","L2J",NULL,NULL,NULL,NULL
"151d0a","RF-72028","Antonov","An-72P","AN72","36576093870","L2J",NULL,NULL,NULL,NULL
"151d0b","RF-90317","Antonov","An-72","AN72","36572093873","L2J",NULL,NULL,NULL,NULL
"151d0c","RF-46546","Antonov","An-72","AN72","36572094883","L2J",NULL,NULL,NULL,NULL
"151d0d","RF-72033","Antonov","An-72","AN72","36572094877","L2J",NULL,NULL,NULL,NULL
"151d10","RF-72976","Antonov","An-72","AN72","36572094884","L2J",NULL,NULL,NULL,NULL
"151d13","RF-72979","Antonov","An-72","AN72","36572095908","L2J",NULL,NULL,NULL,NULL
"15211f","RA-74015","Antonov","An-74-200","AN72","36547098969","L2J","UGP","2003-01-01",NULL,"1997-01-01"
"153880","RA-80000","Antonov","An-2","AN2","10847307","L1P",NULL,NULL,NULL,NULL
"153e6e","RA-81518","Antonov","An-2R","AN2","1G208-18","L1P",NULL,NULL,NULL,NULL
"153e73","RA-81523","Antonov","An-2R","AN2","1G208-23","L1P",NULL,NULL,NULL,NULL
"153e7c","RA-81532","Antonov","An-2R","AN2","1G208-36","L1P",NULL,NULL,NULL,NULL
"153edf","RA-81631","Antonov","An-2R","AN2","1G209-25","L1P","ORB",NULL,NULL,NULL
"153ee3","RA-81635","Antonov","An-2R","AN2","1G209-29","L1P",NULL,NULL,NULL,NULL
"153ee7","RA-81639","Antonov","An-2R","AN2","1G209-33","L1P",NULL,NULL,NULL,NULL
"153eef","RA-81647","Antonov","An-2R","AN2","1G209-41","L1P",NULL,NULL,NULL,NULL
"153ef0","RA-81648","Antonov","An-2R","AN2","1G209-42","L1P",NULL,NULL,NULL,NULL
"15405a","RA-82010","Antonov","An-124-100","A124","9773053616017","L4J",NULL,NULL,NULL,NULL
"15405d","RA-82013","Antonov","An-124-100","A124","9773053732033","L4J",NULL,NULL,NULL,NULL
"15405e","RA-82014","Antonov","An-124-100","A124","9773054732039","L4J",NULL,NULL,NULL,NULL
"15406c","RA-82028","Antonov","An-124-100","A124","19530502599","L4J",NULL,NULL,NULL,NULL
"15406e","RA-82030","Antonov","An-124-100","A124","9773044732045","L4J",NULL,NULL,NULL,NULL
"154070","RF-82032","Antonov","An-124-100","A124","9773052832051","L4J",NULL,NULL,NULL,NULL
"154073","RA-82035","Antonov","An-124-100","A124","9773054832061","L4J",NULL,NULL,NULL,NULL
"154075","RA-82037","Antonov","An-124-100","A124","9773052955071","L4J",NULL,NULL,NULL,NULL
"154076","RA-82038","Antonov","An-124-100","A124","9773054955077","L4J",NULL,NULL,NULL,NULL
"154077","RA-82039","Antonov","An-124-100","A124","9773052055082","L4J",NULL,NULL,NULL,NULL
"154078","RA-82040","Antonov","An-124-100","A124","9773053055086","L4J",NULL,NULL,NULL,NULL
"154079","RF-82041","Antonov","An-124-100","A124","9773054055089","L4J",NULL,NULL,NULL,NULL
"15407b","RA-82043","Antonov","An-124-100","A124","9773054155101","L4J","VDA",NULL,NULL,NULL
"15407c","RA-82044","Antonov","An-124-100","A124","9773054155109","L4J","VDA",NULL,NULL,NULL
"15407d","RA-82045","Antonov","An-124-100","A124","9773052255113","L4J","VDA",NULL,NULL,NULL
"15407e","RA-82046","Antonov","An-124-100","A124","9773052255117","L4J","VDA",NULL,NULL,NULL
"15407f","RA-82047","Antonov","An-124-100","A124","9773053259121","L4J","VDA",NULL,NULL,NULL
"154094","RA-82068","Antonov","An-124-100","A124","9773051359127","L4J","VDA",NULL,NULL,NULL
"15409a","RA-82074","Antonov","An-124-100","A124","9773051459142","L4J","VDA",NULL,NULL,NULL
"15409d","RA-82077","Antonov","An-124-100","A124","9773054459151","L4J","VDA",NULL,NULL,NULL
"15409e","RA-82078","Antonov","An-124-100","A124","9773054559153","L4J","VDA",NULL,NULL,NULL
"15409f","RA-82079","Antonov","An-124-100","A124","9773052062157","L4J","VDA",NULL,NULL,NULL
"1540a0","RA-82080","Antonov","An-124-100","A124","9773051462161","L4J","AZQ",NULL,NULL,NULL
"1540a1","RA-82081","Antonov","An-124-100","A124","9773051462165","L4J","VDA",NULL,NULL,NULL
"154377","RA-82807","Antonov","An-2R","AN2","1G166-25","L1P","FFA",NULL,NULL,NULL
"154385","RA-82821","Antonov","An-2R","AN2","1G166-53","L1P","FFA",NULL,NULL,NULL
"154386","RA-82822","Antonov","An-2R","AN2","1G166-54","L1P","ORB",NULL,NULL,NULL
"15438c","RA-82828","Antonov","An-2R","AN2","1G166-60","L1P",NULL,NULL,NULL,NULL
"154397","RA-82839","Antonov","An-2R","AN2","1G167-53","L1P",NULL,NULL,NULL,NULL
"154a33","RA-84531","Antonov","An-2R","AN2","1G188-56","L1P","UTA",NULL,NULL,NULL
"154a34","RA-84532","Antonov","An-2R","AN2","1G188-57","L1P",NULL,NULL,NULL,NULL
"154a36","RA-84534","Antonov","An-2R","AN2","1G188-59","L1P",NULL,NULL,NULL,NULL
"154a58","RA-84568","Antonov","An-2R","AN2","1G189-35","L1P",NULL,NULL,NULL,NULL
"154a59","RA-84569","Antonov","An-2R","AN2","1G189-36","L1P","ORB",NULL,NULL,NULL
"154a63","RA-84579","Antonov","An-2R","AN2","1G189-46","L1P",NULL,NULL,NULL,NULL
"154a67","RA-84583","Antonov","An-2R","AN2","1G189-50","L1P","DRU",NULL,NULL,NULL
"154a95","RA-84629","Antonov","An-2R","AN2","1G191-05","L1P",NULL,NULL,NULL,NULL
"154ab4","RA-84660","Antonov","An-2R","AN2","1G191-38","L1P",NULL,NULL,NULL,NULL
"154ac2","RA-84674","Antonov","An-2R","AN2","1G191-52","L1P",NULL,NULL,NULL,NULL
"154ad3","RA-84691","Antonov","An-2R","AN2","1G192-09","L1P",NULL,NULL,NULL,NULL
"154ad6","RA-84694","Antonov","An-2R","AN2","1G192-12","L1P","FFA",NULL,NULL,NULL
"154add","RA-84701","Antonov","An-2R","AN2","1G192-19","L1P",NULL,NULL,NULL,NULL
"154ade","RA-84702","Antonov","An-2R","AN2","1G192-20","L1P",NULL,NULL,NULL,NULL
"154ae5","RA-84709","Antonov","An-2R","AN2","1G192-27","L1P",NULL,NULL,NULL,NULL
"154b00","RA-84736","Antonov","An-2R","AN2","1G201-54","L1P","DRU",NULL,NULL,NULL
"154b05","RA-84741","Antonov","An-2R","AN2","1G201-59","L1P",NULL,NULL,NULL,NULL
"154b07","RA-84743","Antonov","An-2R","AN2","1G202-01","L1P",NULL,NULL,NULL,NULL
"154b0b","RA-84747","Antonov","An-2R","AN2","1G202-05","L1P","AGU",NULL,NULL,NULL
"1558e1","RA-88289","Antonov","An-26B","AN26","11804","L2T",NULL,NULL,NULL,NULL
"156653","RA-91731","Antonov","An-2TP","AN2","1G37-08","L1P","FFA",NULL,NULL,NULL
"15665c","RA-91740","Antonov","An-2TP","AN2","1G37-17","L1P",NULL,NULL,NULL,NULL
"156b20","RA-92960","Antonov","An-2","AN2","1G171-17","L1P",NULL,NULL,NULL,NULL
"156b24","RA-92964","Antonov","An-2","AN2","1G171-21","L1P",NULL,NULL,NULL,NULL
"156b29","RA-92969","Antonov","An-2","AN2","1G171-26","L1P",NULL,NULL,NULL,NULL
"156b2a","RA-92970","Antonov","An-2","AN2","1G171-27","L1P",NULL,NULL,NULL,NULL
"156b2b","RA-92971","Antonov","An-2","AN2","1G171-28","L1P",NULL,NULL,NULL,NULL
"156b33","RA-92979","Antonov","An-2R","AN2","1G171-36","L1P",NULL,NULL,NULL,NULL
"156b34","RA-92980","Antonov","An-2R","AN2","1G171-37","L1P",NULL,NULL,NULL,NULL
"156eee","RA-93934","Antonov","An-24B","AN24","09902310","L2T","BUN",NULL,NULL,NULL
"1577e6","RA-96230","Antonov","An-2TP","AN2","1G72-14","L1P","FFA",NULL,NULL,NULL
"157fc9","RA-98249","Antonov","An-2","AN2","19947316","L1P",NULL,NULL,NULL,NULL
"178787","RA-3560K","Antonov","An-28","AN28","1AJ005-14","L2T",NULL,NULL,NULL,NULL
"3d4a31","D-FAIR","Antonov","An-2","AN2","17247305","L1P",NULL,NULL,NULL,NULL
"3d4c0a","D-FBAW","Antonov","An-2","AN2","1G160-01","L1P",NULL,NULL,NULL,NULL
"3d5f65","D-FIJL","Antonov","An-2T","AN2","1G157-04","L1P",NULL,NULL,NULL,NULL
"3d6203","D-FJJF","Antonov","An-2TD","AN2","1G108-70","L1P",NULL,NULL,NULL,NULL
"3d6218","D-FJKA","Antonov","An-2","AN2","19347318","L1P",NULL,NULL,NULL,NULL
"3d64f1","D-FKMB","Antonov","An-2TP","AN2","17347308","L1P",NULL,NULL,NULL,NULL
"3d64f2","D-FKMC","Antonov","An-2T","AN2","17647312","L1P",NULL,NULL,NULL,NULL
"3d64f3","D-FKMD","Antonov","An-2T","AN2","17847312","L1P",NULL,NULL,NULL,NULL
"3d64f4","D-FKME","Antonov","An-2T","AN2","17847305","L1P",NULL,NULL,NULL,NULL
"3d6dc6","D-FNVA","Antonov","An-2T","AN2","19347320","L1P",NULL,NULL,NULL,NULL
"3d6f33","D-FOJB","Antonov","An-2T","AN2","1G86-42","L1P",NULL,NULL,NULL,NULL
"3d6f3f","D-FOJN","Antonov","An-2TD","AN2","1G166-39","L1P",NULL,NULL,NULL,NULL
"3d6f56","D-FOKK","Antonov","An-2T","AN2","19547304","L1P",NULL,NULL,NULL,NULL
"3d6f64","D-FOKY","Antonov","An-2T","AN2","1G86-49","L1P",NULL,NULL,NULL,NULL
"3d6f9d","D-FOND","Antonov","An-2P","AN2","19547308","L1P",NULL,NULL,NULL,NULL
"3d6fa5","D-FONL","Antonov","An-2S","AN2","17847302","L1P",NULL,NULL,NULL,NULL
"3d7f30","D-FUKM","Antonov","An-2","AN2","17747310","L1P",NULL,NULL,NULL,NULL
"3d8455","D-FWJD","Antonov","An-2TD","AN2","1G98-51","L1P",NULL,NULL,NULL,NULL
"3d8456","D-FWJE","Antonov","An-2TD","AN2","1G108-69","L1P",NULL,NULL,NULL,NULL
"3d8458","D-FWJG","Antonov","An-2TD","AN2","1G142-32","L1P",NULL,NULL,NULL,NULL
"3d8459","D-FWJH","Antonov","An-2TD","AN2","1G142-33","L1P",NULL,NULL,NULL,NULL
