"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"a63b09","N500MF","Douglas","DC-3C-TP","DC3T","27047","L2T",NULL,NULL,"2023-02-28","1944-01-01"
"a63b13","N500MR","Douglas","A-26B Invader","B26","28048","L2P",NULL,NULL,"2022-03-31","1945-01-01"
"a63bb3","N500UA","Douglas","DC-6A","DC6","44597","L4P",NULL,NULL,"2021-10-31",NULL
"a664af","N5106X","Douglas","DC-3","DC3","9058","L2P",NULL,NULL,"2023-10-31","1943-01-01"
"a6704e","N514AC","Douglas","AC-47D Spooky","DC3","26558","L2P","IAX",NULL,"2023-02-28","1944-01-01"
"a680d1","N518TA","Douglas","TA-4J Skyhawk","A4","14291","L1J",NULL,NULL,"2023-07-31","2010-01-01"
"a69802","N524CF","Douglas","TA-4J Skyhawk","A4","153524","L1J",NULL,NULL,"2022-04-30","1967-01-01"
"a69e70","N5254L","Douglas","A-24 Banshee","SBD","42-60817","L1P",NULL,NULL,"2022-04-30","1942-01-01"
"a6bf67","N534BE","Douglas","C-53 Skytrooper","DC3","4932","L2P",NULL,NULL,"2022-06-30","1944-01-01"
"a6f0a9","N54602","Douglas","C-47B Skytrain","DC3","49819","L2P",NULL,NULL,"2023-06-30",NULL
"a72841","N560PT","Douglas","DC-3C-TP","DC3T","26439","L2T","PRY",NULL,"2023-07-31","1943-01-01"
"a72bf8","N561PT","Douglas","DC-3C-TP","DC3T","32961","L2T",NULL,NULL,"2022-08-31",NULL
"a72faf","N562PT","Douglas","DC3","DC3T","33313","L2T",NULL,NULL,"2022-10-31",NULL
"a73170","N5625S","Douglas","A-26C Invader","B26","44-35456","L2P",NULL,NULL,"2021-10-31",NULL
"a73e8b","N566PT","Douglas","C-47A Skytrain","DC3","13346","L2P","PRY",NULL,"2022-01-31","1944-01-01"
"a76770","N57626","Douglas","DC-3C","DC3","4564","L2P",NULL,NULL,"2023-04-30","1943-01-01"
"a782e8","N583V","Douglas","DC-3C","DC3","12369","L2P",NULL,NULL,"2021-06-30","1944-01-01"
"a7ab24","N59314","Douglas","DC-3C","DC3","12363","L2P",NULL,NULL,"2023-07-31",NULL
"a7ce1a","N60154","Douglas","DC-3C","DC3","32755","L2P",NULL,NULL,"2021-06-30","1943-01-01"
"a80ba6","N6174C","Douglas","DC-6A","DC6","44075","L4P",NULL,NULL,"2022-01-31","1954-01-01"
"a81419","N62CC","Douglas","DC-3C","DC3","13798","L2P",NULL,NULL,"2021-06-30",NULL
"a82862","N62466","Douglas","EA-1E Skyraider","A1","135178","L1P",NULL,NULL,"2022-07-31","1975-01-01"
"a85313","N6353C","Douglas","DC-7","DC7","45486","L4P",NULL,NULL,"2021-12-31","1958-01-01"
"a88285","N64766","Douglas","C-47B Skytrain","DC3","27218","L2P",NULL,NULL,"2022-01-31",NULL
"a88286","N64767","Douglas","C-47A Skytrain","DC3","13303","L2P",NULL,NULL,"2023-04-30",NULL
"a890a8","N651CE","Douglas","DC-6B","DC6","45501","L4P",NULL,NULL,NULL,NULL
"a893b8","N65164","Douglas","EA-1E Skyraider","A1","10229","L1P",NULL,NULL,"2021-10-31","1955-01-01"
"a8ad9f","N6586C","Douglas","DC-6B","DC6","45222","L4P",NULL,NULL,"2023-07-31","1957-01-01"
"a8dbc4","N670AM","Douglas","SBD-5 Dauntless","SBD","28536","L1P",NULL,NULL,"2023-10-31","1993-01-01"
"a8de73","N67024","Douglas","C-54Q Skymaster","DC4","10550","L4P",NULL,NULL,NULL,NULL
"a9146f","N6840D","Douglas","A-26C Invader","B26","29190","L2P",NULL,NULL,"2021-08-31","1945-01-01"
"a94fea","N7AP","Douglas","DC-3","DC3","13896","L2P",NULL,NULL,"2022-10-31","1943-01-01"
"a95254","N70BF","Douglas","DC-6A","DC6","43720","L4P",NULL,NULL,"2021-05-31","1953-01-01"
"a967b9","N705GB","Douglas","DC-3C","DC3","13854","L2P",NULL,NULL,"2021-10-31",NULL
"a969a5","N7051J","Douglas","TA-4J Skyhawk","A4","14018","L1J",NULL,NULL,NULL,NULL
"a97229","N7079G","Douglas","A-26C Invader","B26","28841","L2P",NULL,NULL,"2023-04-30","1944-01-01"
"a9c1da","N728G","Douglas","DC-3","DC3","4359","L2P",NULL,NULL,"2022-11-30","1942-01-01"
"a9da96","N734H","Douglas","DC-3","DC3","4727","L2P",NULL,NULL,"2023-11-30","1949-01-01"
"a9e5bb","N737H","Douglas","DC-3","DC3","6062","L2P",NULL,NULL,"2021-08-31","1942-01-01"
"aa08af","N74589","Douglas","DC-3C","DC3","9926","L2P",NULL,NULL,"2021-12-31","1942-01-01"
"aa0cc2","N747CE","Douglas","C-118A Liftmaster","DC6","44661","L4P",NULL,NULL,"2021-09-30","1955-01-01"
"aa0d4b","N747HS","Douglas","A-20G Havoc","A20","21356","L2P",NULL,NULL,"2022-10-31","1943-01-01"
"aa1df7","N751CE","Douglas","DC-6B","DC6","45177","L4P",NULL,NULL,"2022-11-30",NULL
"aa4cad","N763A","Douglas","DC-3A","DC3","4894","L2P",NULL,NULL,"2022-04-30","1947-01-01"
"aa8919","N7780B","Douglas","DC-6A","DC6","45372","L4P",NULL,NULL,"2023-08-31","1957-01-01"
"aadf28","N8WJ","Douglas","C-47A Skytrain","DC3","9276","L2P",NULL,NULL,"2022-03-31","1942-01-01"
"aaec7a","N8026E","Douglas","RB-26C Invader","B26","44-35323","L2P",NULL,NULL,"2024-01-31","1944-01-01"
"ab0781","N81FA","Douglas","C-54G Skymaster","DC4","35995","L4P",NULL,NULL,NULL,NULL
"ab1875","N814CL","Douglas","DC-3C","DC3","34370","L2P",NULL,NULL,"2023-05-31","1945-01-01"
"ab2f19","N82GA","Douglas","SBD-5 Dauntless","SBD","54532","L1P",NULL,NULL,"2021-06-30",NULL
"ab66ac","N8336C","Douglas","DC-3A","DC3","7313","L2P",NULL,NULL,"2023-07-31","1942-01-01"
"ab765d","N838D","Douglas","DC-7B","DC7","45347","L4P",NULL,NULL,"2021-12-31","1958-01-01"
"abe4f7","N86584","Douglas","DC-3","DC3","4935","L2P",NULL,NULL,"2021-05-31","1942-01-01"
"abf93a","N8704","Douglas","C-47B Skytrain","DC3","33048","L2P",NULL,NULL,"2021-11-30","1944-01-01"
"ac1171","N877MG","Douglas","DC-3C","DC3","20806","L2P",NULL,NULL,"2022-02-28","1949-01-01"
"ac1359","N87745","Douglas","C-49J","DC3","6315","L2P",NULL,NULL,"2023-01-31","1942-01-01"
"ac26fa","N882TP","Douglas","DC-3C-TP","DC3T","32644","L2T",NULL,NULL,"2022-02-28","1945-01-01"
