"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"01004a","SU-EAI","Tupolev","Tu-204-120","T204","1450743164025","L2J",NULL,NULL,NULL,NULL
"0b06a5","CU-T1701","Tupolev","Tu-204-100E","T204","1450744664035","L2J","CUB",NULL,NULL,NULL
"0b06a6","CU-T1702","Tupolev","Tu-204-100E","T204","1450743764042","L2J","CUB",NULL,NULL,NULL
"0b06a7","CU-C1703","Tupolev","Tu-204-SE","T204","1450744764037","L2J","CUB",NULL,NULL,NULL
"14f90d","RF-66001","Tupolev","Tu-134AK","T134","63757","L2J",NULL,NULL,NULL,NULL
"14f91f","RF-90789","Tupolev","Tu-134AK","T134","63775","L2J",NULL,NULL,NULL,NULL
"14f958","RF-66008","Tupolev","Tu-134AK","T134","63832","L2J",NULL,NULL,NULL,NULL
"14f9e7","RF-66009","Tupolev","Tu-134AK","T134","63975","L2J",NULL,NULL,NULL,NULL
"14fa0a","RA-64010","Tupolev","Tu-204-300A","T204","1450743164010","L2J",NULL,"2009-08-10",NULL,"1993-01-01"
"14fa11","RA-64017","Tupolev","Tu-204-100","T204","1450742564017","L2J","RWZ",NULL,NULL,NULL
"14fa14","RA-64020","Tupolev","Tu-204-100","T204","1450743164020","L2J","RWZ",NULL,NULL,NULL
"14fa15","RA-64021","Tupolev","Tu-204-100S","T204","1450742964021","L2J","TUP",NULL,NULL,NULL
"14fa16","RA-64022","Tupolev","Tu-204-100","T204","1450742064022","L2J",NULL,NULL,NULL,NULL
"14fa18","RA-64024","Tupolev","Tu-204-100S","T204","1450741364024","L2J","TUP",NULL,NULL,NULL
"14fa20","RA-64032","Tupolev","Tu-204-100C","T204","1450742264032","L2J","TUP",NULL,NULL,NULL
"14fa2b","RA-64043","Tupolev","Tu-204-100V","T204","1450743764043","L2J","RWZ",NULL,NULL,NULL
"14fa2e","RA-64046","Tupolev","Tu-204-100V","T204","1450743864046","L2J","RWZ",NULL,NULL,NULL
